SMILES,Cluster_at_cutoff_0.2,Cluster_at_cutoff_0.3,Cluster_at_cutoff_0.25,Cluster_at_cutoff_0.35,Cluster_at_cutoff_0.4,Cluster_at_cutoff_0.45,Cluster_at_cutoff_0.5,Cluster_at_cutoff_0.55,Cluster_at_cutoff_0.6,Cluster_at_cutoff_0.65,Cluster_at_cutoff_0.75,Cluster_at_cutoff_0.7,Cluster_at_cutoff_0.8,Cluster_at_cutoff_0.85,Cluster_at_cutoff_0.9,Cluster_at_cutoff_0.95,Cluster_at_cutoff_0.99
CC([NH2+]Cc1ccncc1)C(O)c1ccccc1.[Cl-],58941,51512,55484,46409,8453,9862,4888,2215,2078,3061,7,80,26,0,0,0,0
Cl.OC(CNc1ncccn1)c1ccccc1,58940,51511,55483,46408,40774,9863,8143,375,392,93,7,315,11,0,0,0,0
CC([NH2+]Cc1ccc2ccccc2n1)C(O)c1ccccc1.O=C([O-])C=CC(=O)O,58939,51510,55482,46407,40773,35501,29520,25018,20274,1948,55,131,1,0,0,0,0
CCN(CC)CCn1c(C(O)c2ccccc2)nc2c1c(=O)n(C)c(=O)n2C,2826,6255,4455,8398,10376,11721,12809,3671,6131,759,22,199,1,0,0,0,0
OC(c1ccccc1)C(Cl)(Cl)Cl,58938,51509,55481,46406,40772,35500,5588,2501,92,24,7,4,1,0,0,0,0
Cc1cc(C)c(CO)c(C)c1,58937,51508,55480,46405,40771,35499,29519,25017,10654,1715,337,2972,115,0,0,0,0
COc1ccc(C[NH2+]C(C)C(O)c2ccccc2)cc1OC.[Cl-],58936,51507,55479,46404,8453,9862,6222,4831,2078,211,7,75,15,0,0,0,0
NCc1ccccc1,1874,4704,3177,6586,8420,9826,2607,144,57,19,0,9,0,0,0,0,0
C=CC[NH+](CCCCl)Cc1ccccc1Br.O=C([O-])C(=O)O,58935,51506,55478,46403,40770,1093,1169,1372,1889,2203,737,1524,25,9,0,0,0
C=CC[NH+](CCCl)Cc1ccccc1.[Cl-],58934,51505,55477,46402,40769,9858,693,547,484,651,98,544,6,1,0,0,0
C=CCc1cc(CN)c(OCCN(C)C)c(OC)c1,58933,51504,55476,46401,4550,5895,7549,6807,9399,3179,934,606,355,2,0,0,0
C=CCOc1c(CCC)cc(C[NH+](CC)CC)cc1CCC.[Cl-],58932,10183,55475,6608,8451,4805,4318,197,239,392,666,506,355,72,0,0,0
C=CCOc1c(C(C)C)cc(C[NH3+])cc1C(C)C.[Cl-],58931,51503,55474,46400,40768,35498,5016,4147,4477,8034,2001,2214,360,14,0,0,0
C=CCOc1c(CCC)cc(C[NH+](C)C)cc1CCC.[Cl-],58930,10183,55473,6608,8451,4805,188,197,239,392,666,506,355,22,0,0,0
C=CCOc1c(CCC)cc(CN)cc1CCC.O=C(O)CC(O)(CC(=O)O)C(=O)O,58929,51502,55472,46399,40767,8498,188,197,239,392,90,506,131,0,0,0,0
C=CCOc1c(C[NH3+])cc(CCC)cc1CCC.[Cl-],58928,51501,55471,46398,40766,4805,4318,197,239,392,666,506,355,106,0,0,0
C=CCOc1c(CCC)cc(C[NH2+]C)cc1CCC.[Cl-],58927,51500,55470,46397,8451,4805,188,197,239,392,666,506,355,64,0,0,0
C=CCOc1c(CC)cc(C[NH+](CC)CC)cc1CC.[Cl-],58926,51499,55469,6608,14371,15370,11099,5858,5800,3816,666,506,303,72,0,0,0
C[NH+](Cc1ccc(Cl)cc1)NCC[NH3+].[Cl-].[Cl-],58925,51498,55468,46396,40765,35497,29518,25016,20273,15148,460,381,110,4,0,0,0
ClCC[NH+](Cc1ccccc1)Cc1nc2ccccc2[nH]1.[Cl-],58924,51497,55467,46395,40764,35496,29517,11526,484,528,98,310,105,1,0,0,0
[Cl-].c1ccc(C[NH2+]CCOc2cccc3c2OCCO3)cc1,58923,51496,55466,6262,2487,750,784,936,1336,1352,813,2198,132,14,0,0,0
O=C(C[NH+](CCCl)Cc1ccccc1)c1ccccc1.[Cl-],58922,51495,55465,46394,40763,35495,15890,547,484,651,72,544,0,0,0,0,0
Cl.c1ccc(CNCC2CCC(COCc3ccccc3)CC2)cc1,58921,51494,55464,46393,40762,35494,11098,11525,1380,1540,297,839,4,1,0,0,0
Cl.Cl.Clc1ccccc1CNCC1CCC(CSCc2ccccc2)CC1,58920,51493,55463,12527,1877,638,420,397,387,473,33,839,25,1,0,0,0
Cl.Cl.c1ccc(CNCC2CCC(CSCc3ccccc3)CC2)cc1,58919,51492,55462,12527,14370,15369,11098,11525,1380,1540,33,52,6,1,0,0,0
ClCCN(CCCl)Cc1ccccc1,5636,1446,841,1594,1862,1092,1025,593,386,155,33,77,6,0,0,0,0
CCCCOc1ccc(CN(CCCl)CCCl)cc1[N+](=O)[O-].Cl,1873,1509,3193,1657,1922,2090,2548,2952,3436,3278,10,2541,11,4,0,0,0
CN(C)c1ccc(N=Nc2ccc(CN(CCCl)CCCl)cc2)cc1,58918,51491,55461,46392,40761,35493,15889,15430,571,1192,269,173,333,13,0,0,0
CCOc1ccc(CN(CCCl)CCCl)cc1[N+](=O)[O-].Cl,1873,1509,2936,1657,1922,2090,2548,2952,1743,3278,196,2541,31,2,0,0,0
Cl.ClCCN(CCCl)Cc1ccccc1,5636,1446,841,1594,1862,1092,1025,593,386,155,33,77,6,0,0,0,0
CC(C)COc1ccc(CN(CCCl)CCCl)cc1[N+](=O)[O-].Cl,58917,1509,7218,1657,1922,2090,2548,2952,1743,3278,1636,2541,31,2,0,0,0
COc1ccc(CN(CCCl)CCCl)cc1[N+](=O)[O-].Cl,58916,51490,55460,1657,1922,3583,2548,2952,1743,3278,196,338,31,2,0,0,0
CC(c1ccccc1)N(CCCl)CCCl.Cl,58915,51489,55459,46391,40760,35492,29516,3460,5042,682,7,46,1,0,0,0,0
Cl.O=[N+]([O-])c1ccc(CN(CCCl)CCCl)cc1,58914,51488,55458,46390,40759,35491,6793,3849,1743,13,13,12,21,13,0,0,0
[O-][N+](CCCl)(CCCl)Cc1ccccc1,58913,9549,7350,11870,13704,14771,7915,5753,3085,205,15,134,6,1,0,0,0
O[N+](CCCl)(CCCl)Cc1ccccc1.[Cl-],5635,10182,7918,12526,14369,15368,7915,5753,3085,205,33,9,0,0,0,0,0
CCCOc1ccc(CN(CCCl)CCCl)cc1[N+](=O)[O-].Cl,1873,1509,3193,1657,1922,2090,2548,2952,1743,3278,196,2541,31,10,0,0,0
C=C(Br)CNCc1ccccc1,58912,51487,55457,46389,40758,35490,530,378,101,353,33,52,6,0,0,0,0
C=C(Br)C[NH+](C)Cc1ccccc1.[Cl-],58911,51486,55456,46388,40757,9861,6073,7040,6718,2060,98,544,6,0,0,0,0
CC[NH+](CCCC(C)Br)Cc1ccccc1Br.O=C([O-])C(=O)O,58910,4718,7917,626,1090,1093,1169,1372,1889,2203,358,1524,12,0,0,0,0
CC[NH+](CCCCCBr)Cc1ccccc1Br.O=C([O-])C(=O)O,5634,929,1563,626,1090,1093,1169,1372,1889,2203,358,1524,0,0,0,0,0
CC[NH+](CCCBr)Cc1ccccc1Br.O=C([O-])C(=O)O,5634,929,3192,626,1090,1093,1169,1372,1889,2203,358,1524,0,0,0,0,0
CC(C)(C)[NH+](CCCCl)Cc1ccccc1Br.[Cl-],58909,51485,55455,46387,40756,35489,1169,1372,1889,2203,737,1524,102,9,0,0,0
CC[NH+](CCCCCl)Cc1ccccc1Br.O=C([O-])C(=O)O,1872,929,1563,626,1090,1093,1169,1372,1889,2203,358,1524,0,0,0,0,0
Cc1ccc(C(C)C)c(OCC[NH+](CCCl)Cc2ccc(Br)cc2)c1.[Cl-],58908,4717,3191,6607,8450,9855,6221,4075,232,283,174,176,92,71,0,0,0
CCN(CCCl)Cc1ccccc1Br.Cl,58907,51484,55454,46386,40755,35488,29515,11558,7930,155,50,260,13,4,0,0,0
CC[NH+](CCCCCCCl)Cc1ccccc1Br.O=C([O-])C(=O)O,1872,929,1563,626,1090,1093,1169,1372,1889,2203,358,1524,12,0,0,0,0
CC[NH+](CCCC(C)Cl)Cc1ccccc1Br.O=C([O-])C(=O)O,58906,4718,7917,626,1090,1093,1169,1372,1889,2203,38,1524,12,0,0,0,0
CC[NH+](CCCCCCl)Cc1ccccc1Br.O=C([O-])C(=O)O,1872,929,1563,626,1090,1093,1169,1372,1889,2203,358,1524,12,0,0,0,0
CC[NH+](Cc1ccccc1Br)CC(C)Cl.[Cl-],58905,51483,55453,46385,40754,15367,1169,1372,1889,2203,98,1524,102,38,0,0,0
CC[NH+](CCCCl)Cc1ccccc1Br.[Cl-],58904,10181,55452,626,1090,1093,1169,1372,1889,2203,737,1524,102,38,0,0,0
ClCCC[NH2+]Cc1ccccc1Br.[Cl-],58903,51482,55451,46384,40753,35487,29514,1372,1889,2203,737,1524,102,2,0,0,0
CC(C)[NH+](CCCCl)Cc1ccccc1Br.[Cl-],58902,51481,55450,46383,40752,35486,1169,1372,1889,2203,737,1524,102,14,0,0,0
C[NH+](CCCCl)Cc1ccccc1Br.O=C([O-])C(=O)O,58901,51480,55449,46382,40751,1093,3893,1372,1889,2203,444,1524,12,0,0,0,0
CCC[NH+](CCCCl)Cc1ccccc1Br.[Cl-],58900,10181,55448,12525,14368,15366,1169,1372,484,651,737,1524,102,0,0,0,0
CCN(CCBr)Cc1ccc(Cl)cc1,58899,51479,55447,2466,3576,6657,8142,4829,3482,155,67,381,5,4,0,0,0
CC[NH+](CCBr)Cc1ccc(Cl)cc1.[Br-],58898,51478,55446,46381,14367,15365,15888,15427,11407,6453,460,381,110,4,0,0,0
CCOc1ccc([N+](=O)[O-])cc1CNCCBr,58897,2555,3190,3866,5329,3581,3778,2548,3435,2189,70,416,21,2,0,0,0
CC[NH+](CCCI)Cc1ccccc1Br.O=C([O-])C(=O)O,58896,929,3192,626,1090,1093,1169,1372,1889,2203,358,1524,0,0,0,0,0
COc1ccc([N+](=O)[O-])cc1CNCCBr,58895,2386,55445,3623,5086,3581,3778,2548,3435,2189,13,338,14,2,0,0,0
C#CC[NH+](C)Cc1ccccc1Br.[Cl-],58894,51477,55444,46380,40750,15363,11095,11523,1889,2203,737,1524,102,22,0,0,0
C=C=CC[NH+](C)Cc1ccccc1Cl.[Cl-],58893,51476,55443,46379,40749,35485,11095,11523,11406,5322,38,216,24,9,0,0,0
C=C=CC[NH+](C)Cc1ccccc1.[Cl-],58892,51475,55442,46378,40748,35484,6073,7040,6718,6454,98,544,6,0,0,0,0
CCCCOc1ccc(C(C)N)cc1,867,2554,1561,3864,3577,3582,2665,1088,516,58,10,8,10,0,0,0,0
CC[NH+](CCCl)Cc1c(C)cc(C)cc1C(C)(C)C.[Cl-],58891,51474,55441,46377,40747,35483,29513,25015,20272,15147,3532,1852,667,72,18,0,0
CCCC[NH+](CCCl)Cc1ccccc1.[Cl-],58890,1508,1562,1656,1921,1091,693,547,484,651,4,77,6,0,0,0,0
CCCCNC(C)c1ccccc1,58889,51473,55440,6153,3420,4613,6032,4714,3910,1254,4,4,1,0,0,0,0
CCN(CCCl)Cc1ccc(Cl)cc1,5633,10180,7916,2466,3576,1092,1025,4829,3482,155,67,260,5,4,0,0,0
CCN(CCCl)Cc1cccc(Cl)c1.Cl,58888,51472,55439,46376,40746,35482,1025,4829,3482,155,85,260,5,3,0,0,0
CCN(CCCl)Cc1ccc(Cl)cc1.Cl,5633,10180,7916,2466,3576,1092,1025,4829,3482,155,50,77,5,4,0,0,0
Cl.Cl.Clc1ccccc1CNCC1CCCCC1,5353,2450,1497,2403,1877,638,420,397,387,473,15,216,19,1,0,0,0
CC(C)c1ccccc1OCC(C)[NH+](CCCl)Cc1ccccc1.[Cl-],58887,51471,55438,46375,40745,35481,29512,15429,1477,1240,98,549,6,0,0,0,0
Cc1ccc(C(C)C)c(OCC[NH+](CCCl)Cc2ccccc2)c1.[Cl-],58886,4717,3191,6607,8450,9855,6221,4075,232,283,98,176,6,0,0,0,0
CCc1ccc(C[NH+](CC)CCCl)cc1.[Cl-],58885,51470,55437,46374,40744,35480,29511,15428,484,651,98,990,210,72,0,0,0
CCCCCCCCCCCC[NH+](CCCl)Cc1ccccc1.[Cl-],5632,1508,1562,1656,1921,1091,693,547,484,651,4,544,6,0,0,0,0
CCOc1ccc([N+](=O)[O-])cc1CNCCCl,58884,2555,3190,3866,5329,3581,2958,2548,3435,2189,70,350,21,2,0,0,0
CCN(CCCl)Cc1ccccc1.Cl,58883,51469,55436,1594,1862,1092,1025,593,386,155,4,77,5,0,0,0,0
CCN(CCCl)Cc1ccc(C(C)C)cc1.Cl,58882,51468,55435,2466,3576,1092,1025,4829,3482,155,565,260,5,4,0,0,0
CCN(CCCl)Cc1ccc2c(c1)OCO2.Cl,58881,51467,55434,46373,40743,35479,7279,4074,86,68,95,37,84,5,0,0,0
CC[NH+](CCCl)C(C)c1ccccc1.[Cl-],58880,51466,55433,46372,13705,9860,11097,11524,11408,682,7,46,0,0,0,0,0
CCc1ccccc1OCC[NH+](CCCl)Cc1ccccc1.[Cl-],58879,51465,55432,3865,3575,1091,693,547,484,651,98,185,2,0,0,0,0
CC[NH+](CCCl)C(c1ccccc1)c1ccccc1.[Cl-],58878,51464,55431,46371,40742,9860,11097,11524,11408,8033,7,990,0,0,0,0,0
CCCCCCC[NH+](CCCl)Cc1ccccc1.[Cl-],5632,1508,1562,1656,1921,1091,693,547,484,651,4,544,6,0,0,0,0
Cl.ClCCNCc1ccccc1,58877,51463,55430,795,825,753,530,378,292,141,33,52,6,0,0,0,0
CCN(CCI)Cc1ccc(Cl)cc1,58876,51462,55429,2466,3576,6657,8142,4829,3482,155,67,381,5,4,0,0,0
CC[NH+](CCI)Cc1ccc(Cl)cc1.[I-],58875,51461,55428,46370,14367,15365,15888,15427,11407,6453,173,381,110,4,0,0,0
CC(C)N(CCCl)Cc1ccccc1.Cl,58874,51460,55427,46369,40741,35478,3892,593,386,155,4,9,6,0,0,0,0
COCCOCC[NH+](CCCl)Cc1ccccc1.[Cl-],58873,51459,55426,46368,40740,1091,693,547,484,651,98,544,6,0,0,0,0
COc1ccccc1C[NH+](C)CCCl.[Cl-],58872,51458,55425,46367,40739,35477,29510,15426,465,473,44,276,29,2,0,0,0
COc1ccc(C[NH+](C)CCCl)cc1.[Cl-],58871,51457,55424,46366,8080,15364,10748,11233,6587,1260,11,161,3,4,0,0,0
COc1ccc([N+](=O)[O-])cc1CNCCCl,58870,2386,55423,3623,5086,3581,2958,2548,3435,2189,13,338,21,2,0,0,0
COc1ccccc1OCC[NH+](CCCl)Cc1ccccc1.[Cl-],58869,51456,55422,3865,3575,4804,693,547,484,108,23,402,25,0,0,0,0
COc1ccc(OCC[NH+](CCCl)Cc2ccccc2)cc1.[Cl-],58868,51455,55421,46365,3575,4804,693,547,484,651,98,317,39,0,0,0,0
CN(CCCl)Cc1ccccc1.Cl,58867,10178,55420,12523,8449,4384,1025,593,386,29,9,77,0,0,0,0,0
CC(COc1ccccc1)N(CCCl)Cc1ccccc1,5631,10179,7915,12524,8448,9859,3892,8931,5041,155,66,20,6,0,0,0,0
CC(COc1ccccc1)N(CCCl)Cc1ccccc1.Cl,5631,10179,7915,12524,8448,9859,3892,8931,5041,155,66,20,6,0,0,0,0
Cc1ccccc1OCC(C)N(CCCl)Cc1ccccc1.Cl,58866,51454,55419,46364,8448,9859,11096,8931,5041,155,66,77,6,0,0,0,0
Cl.ClCCN(CCOc1ccccc1)Cc1ccccc1,58865,51453,55418,6606,2086,2981,1025,593,386,155,6,20,4,0,0,0,0
ClCC[NH+](CC=Cc1ccccc1)Cc1ccccc1.[Cl-],58864,51452,55417,46363,40738,9858,10910,547,484,651,40,544,74,12,0,0,0
CCC[NH+](CCCl)Cc1ccccc1.[Cl-],58863,1508,7914,1656,1921,1091,693,547,484,651,4,77,0,0,0,0,0
C#CC[NH+](C)Cc1ccccc1Cl.[Cl-],58862,51451,55416,46362,40737,15363,11095,11523,11406,5322,38,216,19,8,0,0,0
CCN(CC)C(CCc1ccc(Cl)cc1)c1ccccc1,58861,10174,55415,6605,8447,9857,8141,8928,4565,2109,67,381,1,0,0,0,0
CN(C)C(CCc1ccc(Cl)cc1)c1ccccc1,58860,51450,55414,6605,8447,9857,15887,11073,6717,2109,7,46,1,0,0,0,0
CC[NH+](CCCc1ccc(Cl)cc1)Cc1ccc(OC)c(OC)c1.O=C([O-])C=CC(=O)O,58859,51449,55413,46361,40736,35476,29509,3919,3392,1164,29,801,15,2,0,0,0
CN(CCCCl)Cc1ccccc1.Cl,58858,10178,55412,12523,8449,4384,3646,593,386,155,4,77,6,0,0,0,0
Cc1cc(C(C)N)ccc1OC1CCCCC1,58857,51448,55411,46360,40735,9856,11094,8930,7929,3277,1061,3086,26,0,0,0,0
CCc1cc(C(C)N)ccc1OC1CCCCC1,58856,10177,55410,12522,14366,9856,11094,11522,7929,3277,1061,3086,90,0,0,0,0
CC(N)c1ccc(OC2CCCCC2)cc1,5630,10176,7913,12521,14365,15362,10632,8930,4459,3277,1061,3086,26,18,0,0,0
CCCc1cc(C(C)N)ccc1OC1CCCCC1,58855,10177,55409,12522,14366,9856,11094,11522,7929,3277,1061,3086,853,0,0,0,0
CC(N)c1ccc(OC2CCCC2)cc1,5630,10176,7913,12521,14365,15362,10632,8930,4459,3277,1817,3086,26,18,0,0,0
c1ccc(CNC2CC2)cc1,58854,10175,55408,12520,14364,8420,8293,5857,1602,353,15,166,4,0,0,0,0
c1ccc(C(NC2=NCCO2)C2CC2)cc1,58853,51447,55407,46359,40734,4395,2606,1929,2077,306,240,628,26,0,0,0,0
Cc1ccc(C(C)C)c(OCC[NH+](CCI)Cc2ccccc2)c1.[I-],58852,4717,3191,6607,8450,9855,6221,4075,232,283,98,176,6,0,0,0,0
C=CCN(CC=C)Cc1cc([N+](=O)[O-])ccc1OC.Cl,58851,51446,55406,46358,40733,35475,29508,2548,1046,2189,70,338,21,2,0,0,0
CCOCCNCc1ccc(Cl)cc1Cl,58850,51445,55405,46357,40732,35474,29507,11521,7928,1207,54,1914,75,2,0,0,0
CCOCCNCc1ccc(Cl)c(Cl)c1,58849,51444,55404,46356,40731,35473,29506,11521,7928,1540,42,3261,196,4,0,0,0
Cl.NCc1ccc(Cl)cc1Cl,58848,51443,55403,46355,40730,7294,6511,5015,1896,1207,221,396,75,2,1,0,0
CC[NH+](CC)Cc1c(OC)cccc1OC.O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,58847,10173,55402,12519,14363,15361,15886,7184,1760,1097,70,338,21,2,0,0,0
CCN(CC)C(C)c1ccc(Oc2ccccc2)cc1,58846,51442,55401,46354,14360,9852,11093,8929,432,267,338,20,0,0,0,0,0
CCN(CC)C(CCc1ccccc1)c1ccccc1,58845,10174,55400,6605,8447,9857,8141,8928,717,19,4,46,1,0,0,0,0
COc1ccc(OC)c(CN)c1,58844,51441,55399,46353,4716,9854,2478,2018,1453,1198,29,156,31,2,0,0,0
COc1cccc(OC)c1C[NH+](C)C.O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,58843,10173,55398,12519,14363,15361,15886,7184,1760,1097,70,338,21,2,0,0,0
CN(C)Cc1ccccc1,5629,10171,7911,12517,14361,15360,4886,2547,386,19,4,9,0,0,0,0,0
CN(C)CCOc1ccccc1CNc1ccccc1,58842,10172,7912,12518,14362,9853,4887,5856,4460,401,27,185,11,1,0,0,0
CN(C)CCCOc1ccccc1CNc1ccccc1,58841,10172,7912,12518,14362,9853,4887,1295,390,401,27,185,11,1,0,0,0
C[NH+](C)C(c1ccccc1)C(C)(C)CCCc1ccccc1.[Cl-],58840,51440,55397,46352,40729,35472,29505,25014,14251,7148,4,70,6,0,0,0,0
C[NH+](C)Cc1ccccc1.F[As-](F)(F)(F)(F)F,58839,51439,55396,46351,40728,35471,6073,7040,9398,651,4,9,6,0,0,0,0
CN(C)Cc1ccccc1.Cl,5629,10171,7911,12517,14361,15360,4886,1063,386,19,4,9,0,0,0,0,0
CC(c1ccc(Oc2ccccc2)cc1)N(C)C,58838,51438,55395,46350,14360,9852,7738,764,432,267,7,254,0,0,0,0,0
CC(c1ccccc1)N(C)N=O,58837,51437,55394,46349,40727,35470,6224,3460,2807,24,7,46,1,0,0,0,0
CC(C)(NC1=NCCO1)c1ccccc1,58836,51436,55393,46348,40726,35469,29504,11520,1888,306,240,250,157,6,0,0,0
Cc1cccc(CNC2=NCCO2)c1C,58835,51435,55392,46347,40725,15359,11092,3857,1888,1177,240,250,7,85,0,0,0
Cc1cccc(C)c1CNC1=NCCO1,58834,51434,55391,46346,40724,15359,11092,3012,1888,1469,240,250,7,46,0,0,0
CCC([NH2+]CCC(c1ccccc1)c1ccccc1)c1ccccc1.[Cl-],58833,51433,55390,46345,40723,35468,29503,25013,553,2864,7,46,15,0,0,0,0
CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1.Cl,58832,51432,55389,46344,3420,4613,748,969,765,94,7,46,1,0,0,0,0
CCOc1ccc(C(CC(C)c2ccccc2)[NH+](CC)CC)cc1.[Cl-],58831,51431,55388,46343,40722,35467,29502,25012,20271,541,52,352,0,0,0,0,0
CCOc1ccc(C(C)N)cc1,58830,51430,55387,46342,3577,3582,1008,1088,64,60,52,65,58,0,0,0,0
CCC(N)c1ccccc1.Cl,58829,51429,55386,46341,40721,35466,10501,598,143,24,0,4,0,0,0,0,0
CCN(CCCCOC(=O)c1cc(OC)c(OC)c(OC)c1)Cc1ccccc1,58828,187,55385,121,98,129,43,41,41,30,0,1,0,0,0,0,0
CCNC(C)c1ccccc1,58827,51428,55384,46340,3420,4613,3738,4714,1081,24,7,4,0,0,0,0,0
CCN(CC=C(C)CCC=C(C)CCC=C(C)C)Cc1ccc2c(c1)OCO2,5625,2553,3189,3863,5328,3580,2605,871,2806,68,95,423,84,60,0,0,0
CCN(Cc1ccccc1)N=O,58826,9547,7348,11868,13700,9474,4886,8927,1291,155,4,77,0,0,0,0,0
CCC(NC1=NCCO1)c1ccccc1,58825,51427,55383,46339,40720,4395,2606,1929,2077,306,7,250,1,0,0,0,0
CC[NH+](CCOc1ccccc1)Cc1ccccc1.[Cl-],58824,51426,55382,46338,40719,35465,15885,15425,484,58,14,20,0,0,0,0,0
CCC(CC)Oc1ccc(C(C)N)cc1,58823,51425,55381,46337,14358,9851,4125,1088,4459,3277,1817,3086,172,0,0,0,0
CCCCCCC[NH2+]Cc1ccc(C(C)C)cc1.O=S(=O)([O-])O,5628,10170,7910,12516,14359,15358,15884,15424,14250,2202,450,997,3,0,0,0,0
CCCCCCCOc1ccc(C(C)N)cc1,867,2554,1561,3864,3577,3582,895,1088,226,15,2,5,3,0,0,0,0
C[NH2+]Cc1ccc(OCCCCCCOc2ccc(C[NH2+]C)cc2)cc1.[Cl-].[Cl-],58822,51424,55380,46336,40718,35464,29501,11519,226,308,14,20,33,10,0,0,0
CCCCCC[NH2+]Cc1ccc(C(C)C)cc1.O=S(=O)([O-])O,5628,10170,7910,12516,14359,15358,15884,15424,14250,2202,450,997,3,0,0,0,0
CCCCCCOc1ccc(C(C)N)cc1,867,2554,1561,3864,3577,3582,3163,1006,226,15,2,8,3,0,0,0,0
CC(C)=CCCC(C)=CCCC(C)=CCN(Cc1ccc2c(c1)OCO2)CC(C)C,58821,2553,3189,3863,5328,3580,2605,871,2806,3276,95,423,84,60,0,0,0
CC(C)Oc1ccc(C(C)N)cc1,58820,51423,55379,46335,14358,9851,4125,1088,4459,2532,704,1687,117,0,0,0,0
CCCCCCCCNCc1ccc(C(C)C)cc1,58819,51422,55378,46334,8446,15357,15883,15423,4458,2202,4,31,3,4,2,0,0
CC(C)C(NC1=NCCO1)c1ccccc1,58818,51421,55377,46333,14356,4395,2606,1929,2077,306,7,628,1,0,0,0,0
Cl.NCc1ccccc1,1874,4704,3177,6586,8420,9826,2607,144,57,19,4,9,0,0,0,0,0
COc1cccc(CN)c1,58817,51420,55376,46332,40717,6038,5169,1747,960,797,144,149,8,0,0,0,0
COc1ccccc1CCC[NH2+]Cc1ccccc1.[Cl-],58816,51419,55375,46331,40716,35463,29500,1296,989,767,44,185,87,0,0,0,0
COc1ccc(S(=O)(=O)CCNCc2ccccc2)cc1.Cl,58815,51418,55374,10406,12294,8698,5544,2781,292,259,11,52,3,0,0,0,0
CC(N)c1ccccc1,58814,51417,55373,46330,40715,3511,983,598,92,24,7,4,0,0,0,0,0
Cc1ccccc1CN,5627,10169,7909,12515,14357,3852,2731,1787,1321,847,47,349,0,0,0,0,0
COc1ccc(C[NH+](C)C)cc1Cc1cc(C[NH+](C)C)ccc1OC.[Cl-].[Cl-],58813,51416,55372,46329,40714,35462,15882,6728,4845,4709,29,4975,45,2,0,0,0
CC([NH3+])c1ccccc1.[Cl-],58812,51415,55371,46328,40713,35461,1554,598,92,24,7,4,1,0,0,0,0
CNCc1ccccc1.Cl,58811,51414,55370,46327,7835,753,530,378,101,19,4,9,0,0,0,0,0
Cc1ccccc1CN.Cl,5627,10169,7909,12515,14357,3852,2731,1787,1321,847,47,349,0,0,0,0,0
CC(C)=CCCC(C)=CCCC(C)=CCN(C)Cc1ccc2c(c1)OCO2,58810,2553,55369,3863,5328,3580,2605,871,2806,68,95,423,84,60,0,0,0
CN(Cc1ccccc1)N=O,58809,51413,55368,46326,40712,9474,4886,2547,1291,155,4,9,0,0,0,0,0
CCCCCCCCN(C)Cc1ccccc1,58808,51412,55367,46325,40711,15356,11091,1063,554,21,4,77,0,0,0,0,0
CC(NC1=NCCO1)c1ccccc1,58807,51411,55366,46324,14356,4395,2606,1929,2077,306,7,628,1,0,0,0,0
CCCCCOc1ccc(C(C)N)cc1,867,2554,1561,3864,3577,3582,3163,1088,226,15,14,8,10,0,0,0,0
CC(N)c1ccc(Oc2ccccc2)cc1,58806,51410,55365,46323,40710,9195,870,598,432,267,0,254,0,0,0,0,0
C#CCN(C)Cc1ccccc1,5626,10168,7908,12514,14355,15355,11090,1063,554,1635,72,77,6,0,0,0,0
C#CCN(C)Cc1ccccc1.Cl,5626,10168,7908,12514,14355,15355,11090,1063,554,155,33,77,6,0,0,0,0
CCC(c1ccc(C)cc1)N(CC)CC.Cl,58805,51409,55364,46322,40709,35460,29499,25011,20270,9009,719,2870,117,0,0,0,0
Cl.NCc1ccc([N+](=O)[O-])cc1,58804,51408,55363,46321,40708,35459,191,118,80,13,13,12,21,12,0,0,0
CN(N=O)C(C)(C)c1ccccc1,58803,51407,55362,46320,40707,35458,29498,25010,225,461,27,28,0,0,0,0,0
CCCCCCCCNCc1ccccc1,58802,51406,55361,46319,8446,9252,3748,246,292,21,4,31,3,0,0,0,0
c1ccc(CNC2=NCCO2)cc1,58801,51405,55360,46318,40706,6656,8140,3012,1888,306,63,166,6,1,0,0,0
Cc1ccc(C(C)NC2=NCCO2)c(C)c1,58800,51404,55359,46317,8445,8766,11089,8926,2077,2402,240,628,115,52,0,0,0
Cc1ccc(C)c(C(C)NC2=NCCO2)c1,58799,51403,55358,46316,8445,8766,11089,8926,2077,2402,240,628,157,85,1,0,0
ClCC[NH+](CCCC[NH+](CCCl)Cc1ccccc1)Cc1ccccc1.[Cl-].[Cl-],58798,1508,1562,1656,1921,1091,693,547,484,651,98,544,6,0,0,0,0
CC(c1ccccc1)N(C)C,58797,51402,55357,46315,40705,35457,15881,3460,92,24,7,46,1,0,0,0,0
CC(C)=CCCC(C)=CCCC(C)=CCN(Cc1ccc2c(c1)OCO2)Cc1ccc2c(c1)OCO2,5625,2553,3189,3863,5328,3580,2605,871,2806,68,95,423,84,60,0,0,0
NCc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],58796,51401,55356,46314,40704,15354,11314,674,328,168,13,12,21,12,3,0,0
